date,amount,operation_type,category,description,payment_channel
2026-01-05,18500,income,Продажи,Заказ одежды A-1001,Эквайринг
2026-01-08,9200,income,Продажи,Заказ одежды A-1002,Эквайринг
2026-01-11,14600,income,Продажи,Заказ одежды A-1003,Эквайринг
2026-01-13,32000,expense,Закупки,Закупка базовой коллекции,Перевод
2026-01-16,6400,expense,Реклама,Реклама зимней коллекции,Карта
2026-01-18,7800,income,Продажи,Заказ одежды A-1004,Эквайринг
2026-01-21,2500,expense,Доставка,Курьерская доставка заказов,Перевод
2026-01-24,12100,income,Продажи,Заказ одежды A-1005,Эквайринг
2026-01-27,1100,commission,Банковские комиссии,Комиссия за обслуживание банка,Счет
2026-01-29,3200,refund,Возвраты,Возврат заказа A-0998,Эквайринг
2026-02-03,11300,income,Продажи,Заказ одежды A-1006,Эквайринг
2026-02-05,16800,income,Продажи,Заказ одежды A-1007,Эквайринг
2026-02-07,8900,income,Продажи,Заказ одежды A-1008,Эквайринг
2026-02-09,27000,expense,Закупки,Закупка джемперов у поставщика,Перевод
2026-02-11,7200,expense,Реклама,Продвижение каталога,Карта
2026-02-14,19400,income,Продажи,Заказ одежды A-1009,Эквайринг
2026-02-16,5300,income,Продажи,Заказ одежды A-1010,Эквайринг
2026-02-18,3100,expense,Доставка,Курьерская доставка заказов,Перевод
2026-02-21,13800,income,Продажи,Заказ одежды A-1011,Эквайринг
2026-02-23,4900,refund,Возвраты,Возврат заказа A-1003,Эквайринг
2026-02-25,1100,commission,Банковские комиссии,Комиссия за обслуживание банка,Счет
2026-02-27,3900,expense,Подписки,CRM и сервис аналитики,Карта
2026-03-02,12700,income,Продажи,Заказ одежды A-1012,Эквайринг
2026-03-04,17600,income,Продажи,Заказ одежды A-1013,Эквайринг
2026-03-06,9800,income,Продажи,Заказ одежды A-1014,Эквайринг
2026-03-08,22100,income,Продажи,Заказ одежды A-1015,Эквайринг
2026-03-10,34500,expense,Закупки,Закупка весенней коллекции,Перевод
2026-03-12,8300,expense,Реклама,Реклама весенней коллекции,Карта
2026-03-14,6100,income,Продажи,Заказ одежды A-1016,Эквайринг
2026-03-16,15400,income,Продажи,Заказ одежды A-1017,Эквайринг
2026-03-18,3500,expense,Доставка,Логистика и курьеры,Перевод
2026-03-20,11800,income,Продажи,Заказ одежды A-1018,Эквайринг
2026-03-22,4200,refund,Возвраты,Возврат заказа A-1010,Эквайринг
2026-03-24,1100,commission,Банковские комиссии,Комиссия за обслуживание банка,Счет
2026-03-26,3900,expense,Подписки,CRM и хостинг магазина,Карта
2026-03-29,12500,expense,Налоги,Налоговый платеж за квартал,Перевод
2026-04-01,14200,income,Продажи,Заказ одежды A-1019,Эквайринг
2026-04-03,18900,income,Продажи,Заказ одежды A-1020,Эквайринг
2026-04-05,10500,income,Продажи,Заказ одежды A-1021,Эквайринг
2026-04-07,24600,income,Продажи,Заказ одежды A-1022,Эквайринг
2026-04-09,7200,income,Продажи,Заказ одежды A-1023,Эквайринг
2026-04-11,38100,expense,Закупки,Закупка футболок у поставщика,Перевод
2026-04-13,9100,expense,Реклама,Продвижение новой коллекции,Карта
2026-04-15,16700,income,Продажи,Заказ одежды A-1024,Эквайринг
2026-04-17,12900,income,Продажи,Заказ одежды A-1025,Эквайринг
2026-04-19,3900,expense,Доставка,Курьерская доставка заказов,Перевод
2026-04-21,20100,income,Продажи,Заказ одежды A-1026,Эквайринг
2026-04-23,5700,refund,Возвраты,Возврат заказа A-1017,Эквайринг
2026-04-25,1100,commission,Банковские комиссии,Комиссия за обслуживание банка,Счет
2026-04-27,3900,expense,Подписки,CRM и хостинг магазина,Карта
2026-04-29,22000,expense,Зарплаты,Зарплата менеджера магазина,Перевод
2026-05-01,15800,income,Продажи,Заказ одежды A-1027,Эквайринг
2026-05-03,20300,income,Продажи,Заказ одежды A-1028,Эквайринг
2026-05-05,11600,income,Продажи,Заказ одежды A-1029,Эквайринг
2026-05-07,26800,income,Продажи,Заказ одежды A-1030,Эквайринг
2026-05-09,8300,income,Продажи,Заказ одежды A-1031,Эквайринг
2026-05-11,17900,income,Продажи,Заказ одежды A-1032,Эквайринг
2026-05-13,42500,expense,Закупки,Закупка летней коллекции,Перевод
2026-05-15,10500,expense,Реклама,Продвижение летней коллекции,Карта
2026-05-17,13400,income,Продажи,Заказ одежды A-1033,Эквайринг
2026-05-19,22400,income,Продажи,Заказ одежды A-1034,Эквайринг
2026-05-21,4500,expense,Доставка,Логистика и курьеры,Перевод
2026-05-22,9700,income,Продажи,Заказ одежды A-1035,Эквайринг
2026-05-23,6100,refund,Возвраты,Возврат заказа A-1022,Эквайринг
2026-05-24,1100,commission,Банковские комиссии,Комиссия за обслуживание банка,Счет
2026-05-25,3900,expense,Подписки,CRM и сервис аналитики,Карта
2026-05-27,22000,expense,Зарплаты,Зарплата менеджера магазина,Перевод
2026-05-29,7600,income,Продажи,Заказ одежды A-1036,Эквайринг
2026-05-31,5200,expense,Аренда,Аренда небольшого склада,Перевод
2026-06-01,17100,income,Продажи,Заказ одежды A-1037,Эквайринг
2026-06-03,21800,income,Продажи,Заказ одежды A-1038,Эквайринг
2026-06-05,12400,income,Продажи,Заказ одежды A-1039,Эквайринг
2026-06-07,28500,income,Продажи,Заказ одежды A-1040,Эквайринг
2026-06-09,9100,income,Продажи,Заказ одежды A-1041,Эквайринг
2026-06-11,19600,income,Продажи,Заказ одежды A-1042,Эквайринг
2026-06-12,98000,expense,Закупки,Крупная закупка капсульной коллекции,Перевод
2026-06-13,38600,expense,Реклама,Резкое увеличение рекламного бюджета,Карта
2026-06-15,14800,income,Продажи,Заказ одежды A-1043,Эквайринг
2026-06-17,23900,income,Продажи,Заказ одежды A-1044,Эквайринг
2026-06-19,4900,expense,Доставка,Курьерская доставка заказов,Перевод
2026-06-20,10600,income,Продажи,Заказ одежды A-1045,Эквайринг
2026-06-21,7200,refund,Возвраты,Возврат заказа A-1034,Эквайринг
2026-06-22,2100,commission,Банковские комиссии,Повышенная комиссия за операции,Счет
2026-06-23,3900,expense,Подписки,CRM и хостинг магазина,Карта
2026-06-24,24000,expense,Зарплаты,Зарплата и премия менеджера,Перевод
2026-06-25,8200,income,Продажи,Заказ одежды A-1046,Эквайринг
2026-06-26,5600,expense,Аренда,Аренда небольшого склада,Перевод
2026-06-27,13500,income,Продажи,Заказ одежды A-1047,Эквайринг
2026-06-28,6800,refund,Возвраты,Возврат заказа A-1039,Эквайринг
2026-06-29,15400,expense,Налоги,Налоговый платеж за квартал,Перевод
2026-06-30,19100,income,Продажи,Заказ одежды A-1048,Эквайринг
